First Layer,Second Layer,Dropout,Learning Rate,Batch Size,MAE,RMSE,MSE
128,64,0.3,0.001,128,19820.33351,32795.89773,1075570908
32,32,0.3,5.00E-04,128,20441.47905,33482.14344,1121053929
128,32,0.3,0.001,128,19982.56492,33685.51738,1134714081
64,64,0.2,5.00E-04,128,19859.21963,33797.01712,1142238366
32,64,0.2,5.00E-04,256,20118.36388,33852.88063,1146017527
64,16,0.3,0.001,128,20041.96757,33854.65125,1146137411
128,64,0.4,5.00E-04,256,19784.96207,33868.56662,1147079805
32,16,0.4,5.00E-04,128,19941.01688,33920.66418,1150611459
32,16,0.2,0.001,128,19880.54703,33922.90358,1150763387
128,16,0.3,0.001,128,19770.0459,33924.46386,1150869248
128,64,0.4,0.001,256,19848.947,33935.53764,1151620715
64,64,0.4,0.001,128,20191.35572,33946.47644,1152363263
32,64,0.4,0.001,128,19884.94042,33953.01821,1152807446
32,32,0.2,0.001,128,20133.73499,33990.56548,1155358541
128,32,0.4,0.001,256,19876.36029,34024.69758,1157680046
64,32,0.4,0.001,256,20036.16378,34034.79958,1158367582
32,64,0.4,0.001,256,19962.9084,34039.84845,1158711282
32,32,0.4,0.001,128,20004.35306,34060.47951,1160116265
64,32,0.4,5.00E-04,256,19926.11034,34072.88495,1160961489
128,32,0.3,0.001,256,19863.41104,34078.47876,1161342715
128,64,0.2,0.001,256,19918.23497,34090.73778,1162178402
32,32,0.3,0.001,256,19907.86023,34091.42876,1162225515
64,64,0.3,0.001,128,19902.85748,34104.28796,1163102457
128,16,0.2,0.001,128,20202.52846,34105.14496,1163160913
32,16,0.2,5.00E-04,128,20337.09586,34109.37388,1163449386
128,16,0.3,5.00E-04,128,20057.42785,34134.00854,1165130539
64,16,0.4,5.00E-04,128,19912.4719,34140.65304,1165584190
128,32,0.3,5.00E-04,128,19958.01536,34163.39198,1167137352
32,64,0.4,5.00E-04,128,20178.52207,34163.78312,1167164077
32,16,0.3,5.00E-04,128,19944.33228,34170.87434,1167648653
32,16,0.4,5.00E-04,256,20094.78206,34186.98379,1168749861
32,64,0.3,0.001,256,20195.73117,34207.68411,1170165652
64,32,0.4,5.00E-04,128,19932.29644,34217.63787,1170846741
64,16,0.3,5.00E-04,128,20168.00881,34222.17903,1171157538
64,64,0.3,5.00E-04,256,19876.73068,34228.36948,1171581277
64,64,0.4,0.001,256,20264.69404,34231.87608,1171821340
64,64,0.2,0.001,256,19935.75921,34241.94683,1172510922
128,64,0.4,5.00E-04,128,19813.63103,34244.2673,1172669843
128,32,0.3,5.00E-04,256,20038.84987,34246.90616,1172850582
32,64,0.3,5.00E-04,128,20051.84833,34268.54204,1174332973
64,16,0.2,5.00E-04,128,20018.42606,34275.1402,1174785236
64,16,0.4,5.00E-04,256,20052.19188,34277.67993,1174959342
64,16,0.2,0.001,256,20148.7657,34286.64727,1175574181
64,64,0.3,0.001,256,20089.96099,34286.91668,1175592655
32,16,0.2,0.001,256,19995.68807,34315.36775,1177544464
128,32,0.2,5.00E-04,128,20092.9968,34325.15649,1178216368
32,64,0.3,5.00E-04,256,20187.14047,34328.09278,1178417954
128,16,0.4,0.001,128,20128.64009,34333.85622,1178813683
128,32,0.2,0.001,128,20053.41426,34337.50846,1179064487
32,32,0.4,5.00E-04,128,19929.59015,34340.17113,1179247353
64,16,0.3,0.001,256,20244.02698,34345.00498,1179579367
32,16,0.4,0.001,128,20076.64742,34352.37718,1180085818
128,32,0.4,5.00E-04,128,20037.014,34352.67954,1180106591
128,32,0.4,0.001,128,20174.81669,34361.35737,1180702880
128,64,0.3,0.001,256,20042.00606,34371.96806,1181432188
64,64,0.3,5.00E-04,128,20068.6677,34393.65855,1182923749
128,16,0.3,0.001,256,20034.43901,34422.67793,1184920756
64,16,0.4,0.001,256,20068.44077,34432.91056,1185625330
32,16,0.4,0.001,256,20185.86948,34436.06159,1185842338
64,64,0.2,0.001,128,20285.15077,34438.22331,1185991224
64,16,0.4,0.001,128,20165.25064,34439.0817,1186050348
128,64,0.2,5.00E-04,256,19985.59687,34456.47493,1187248664
128,32,0.4,5.00E-04,256,20126.39825,34457.4999,1187319299
64,64,0.4,5.00E-04,256,20087.28294,34475.91626,1188588802
32,32,0.4,0.001,256,20067.1944,34477.4698,1188695924
64,64,0.2,5.00E-04,256,20176.18688,34483.20741,1189091593
128,16,0.4,5.00E-04,256,20022.7763,34488.51642,1189457765
32,64,0.4,5.00E-04,256,20205.3362,34500.16983,1190261718
32,16,0.3,0.001,128,20234.83289,34523.01989,1191838902
64,32,0.2,0.001,256,20251.30291,34528.41546,1192211474
128,16,0.3,5.00E-04,256,20154.08018,34533.46398,1192560135
64,32,0.3,5.00E-04,128,20172.52208,34545.18992,1193370147
128,16,0.4,0.001,256,20204.89681,34560.74667,1194445210
128,32,0.2,5.00E-04,256,20158.0233,34565.8326,1194796783
128,16,0.2,5.00E-04,128,20247.64097,34573.25547,1195309994
32,64,0.2,5.00E-04,128,20268.87063,34576.30614,1195520947
128,64,0.3,5.00E-04,128,20179.49952,34588.1374,1196339249
64,32,0.3,5.00E-04,256,20209.9411,34611.60985,1197963537
64,32,0.2,5.00E-04,256,20183.99954,34619.2114,1198489798
32,16,0.2,5.00E-04,256,20442.80044,34627.23776,1199045595
128,16,0.2,5.00E-04,256,20227.68648,34635.09651,1199589911
32,32,0.2,5.00E-04,128,20053.65449,34654.48508,1200933336
64,32,0.2,5.00E-04,128,20220.0241,34654.66009,1200945466
64,16,0.3,5.00E-04,256,20483.97546,34665.68448,1201709680
64,32,0.4,0.001,128,20348.10556,34672.21669,1202162610
128,16,0.4,5.00E-04,128,20306.6792,34672.42225,1202176865
64,16,0.2,0.001,128,20418.75975,34693.74939,1203656247
32,32,0.2,5.00E-04,256,20352.56575,34724.50363,1205791152
64,64,0.4,5.00E-04,128,20516.07497,34747.88758,1207415691
64,32,0.3,0.001,256,20282.46357,34750.90598,1207625466
32,64,0.2,0.001,128,20557.83938,34761.21612,1208342146
32,16,0.3,0.001,256,20384.44507,34776.25116,1209387645
128,16,0.2,0.001,256,20389.37386,34815.4906,1212118386
32,32,0.4,5.00E-04,256,20425.78787,34825.89248,1212842787
32,32,0.2,0.001,256,20560.36823,34829.01294,1213060142
128,64,0.2,0.001,128,20506.22427,34837.29801,1213637333
64,32,0.3,0.001,128,20559.00898,34856.55103,1214979150
128,64,0.3,5.00E-04,256,20475.42651,34877.3939,1216432605
64,32,0.2,0.001,128,20436.7863,34916.07391,1219132217
128,64,0.2,5.00E-04,128,20459.74924,34950.26853,1221521271
32,32,0.3,5.00E-04,256,20667.89732,34960.99824,1222271398
128,32,0.2,0.001,256,20635.01054,35080.51943,1230642844
128,64,0.4,0.001,128,20729.06107,35085.57514,1230997583
32,32,0.3,0.001,128,20780.1816,35093.40569,1231547123
64,16,0.2,5.00E-04,256,20781.94579,35095.9718,1231727237
32,64,0.2,0.001,256,21228.43262,35260.50222,1243303017
32,16,0.3,5.00E-04,256,21838.21374,35962.45072,1293297862
32,64,0.3,0.001,128,22231.58965,36707.08417,1347410028